Date,open,high,low,close,volume,vwap,transactions,otc
2025-10-02,670.45,670.565,666.78,669.22,56895993.0,668.8385,743850,
2025-10-03,669.99,672.675,668.16,669.21,70494350.0,670.3454,895359,
2025-10-06,671.62,672.51,669.455,671.61,54623260.0,671.2429,873508,
2025-10-07,672.54,672.99,667.67,669.12,72020067.0,669.6622,947296,
2025-10-08,670.25,673.2056,669.42,673.11,60702241.0,672.1243,747743,
2025-10-09,673.53,673.94,669.21,671.16,66501941.0,671.0524,802889,
2025-10-10,672.13,673.95,652.84,653.02,159422589.0,661.4435,1778637,
2025-10-13,660.65,665.13,659.7679,663.04,79560517.0,662.1901,1125900,
2025-10-14,657.17,665.83,653.17,662.23,88779560.0,661.0565,1177809,
2025-10-15,666.82,670.23,658.93,665.17,81702555.0,665.1077,1067025,
2025-10-16,666.82,668.71,657.11,660.64,110563346.0,662.599,1443490,
2025-10-17,659.5,665.755,658.14,664.39,96500870.0,661.9558,1156217,
2025-10-20,667.32,672.21,667.27,671.3,60492650.0,670.3723,858129,
2025-10-21,671.44,672.99,669.981,671.29,56249034.0,671.7072,831024,
2025-10-22,672.0,672.0,663.3,667.8,80564006.0,667.9078,963659,
2025-10-23,668.12,672.7101,667.8,671.76,65604461.0,670.7669,767072,
2025-10-24,676.46,678.47,675.65,677.25,74356527.0,676.8686,762628,
2025-10-27,682.73,685.54,682.115,685.24,63293828.0,683.7287,811233,
2025-10-28,687.05,688.905,684.83,687.06,61737972.0,686.7871,759679,
2025-10-29,688.72,689.7,682.87,687.39,85340645.0,687.1789,1044645,
2025-10-30,683.9,685.94,679.83,679.83,76335751.0,682.9412,971938,
2025-10-31,685.04,685.08,679.24,682.06,87164122.0,682.5159,990900,
2025-11-03,685.67,685.8,679.94,683.34,57315025.0,682.9313,870106,
2025-11-04,676.11,679.96,674.58,675.24,78426969.0,676.8211,1140117,
2025-11-05,674.98,680.86,674.17,677.58,74402176.0,677.9967,904364,
2025-11-06,676.47,677.38,668.72,670.31,85035298.0,672.3683,1184829,
2025-11-07,667.91,671.08,661.205,670.97,100563537.0,666.6655,1398673,
